,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
1684,M,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215,9
1685,F,0.46,0.375,0.12,0.4915,0.2205,0.08800000000000001,0.17,7
1686,I,0.55,0.445,0.145,0.7829999999999999,0.3045,0.157,0.265,11
1687,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.40700000000000003,12
1688,M,0.57,0.45,0.14,0.9275,0.47700000000000004,0.1605,0.2515,8
1689,I,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,7
1690,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
1691,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
1692,I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4
1693,F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
1694,M,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9
1695,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
1696,F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10
1697,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
1698,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
1699,I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
1700,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
1701,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
1702,M,0.595,0.475,0.14,0.9440000000000001,0.3625,0.18899999999999997,0.315,9
1703,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
1704,F,0.51,0.4,0.12,0.7005,0.34700000000000003,0.1105,0.195,10
1705,I,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9
1706,M,0.37,0.29,0.09,0.24100000000000002,0.11,0.045,0.069,10
1707,F,0.57,0.45,0.15,0.9645,0.531,0.18899999999999997,0.209,9
1708,F,0.59,0.44,0.14,1.0070000000000001,0.4775,0.2105,0.2925,9
1709,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
1710,I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.057999999999999996,7
1711,F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,9
1712,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
1713,F,0.655,0.545,0.185,1.7590000000000001,0.6865,0.313,0.547,11
1714,M,0.53,0.41,0.165,0.732,0.18899999999999997,0.17,0.31,11
1715,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9
1716,M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17
1717,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
1718,F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
1719,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
1720,F,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12
1721,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
1722,F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.35600000000000004,11
1723,I,0.435,0.345,0.12,0.3215,0.13,0.055999999999999994,0.1185,7
1724,M,0.585,0.47,0.165,1.409,0.8,0.22899999999999998,0.295,10
1725,I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
1726,F,0.615,0.475,0.17,1.055,0.5429999999999999,0.24600000000000002,0.2345,9
1727,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
1728,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
1729,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
1730,M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10
1731,F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
1732,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.17800000000000002,9
1733,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
1734,I,0.29,0.225,0.07,0.10099999999999999,0.036000000000000004,0.0235,0.035,8
1735,F,0.38,0.325,0.11,0.3105,0.12,0.07400000000000001,0.105,10
1736,I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
1737,F,0.475,0.4,0.115,0.541,0.18600000000000003,0.1025,0.21,13
1738,I,0.28,0.12,0.075,0.11699999999999999,0.0455,0.028999999999999998,0.0345,4
1739,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
1740,F,0.415,0.305,0.105,0.3605,0.12,0.08199999999999999,0.1,10
1741,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
1742,F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
1743,I,0.32,0.205,0.08,0.18100000000000002,0.08800000000000001,0.034,0.0495,5
1744,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
1745,I,0.23,0.17,0.05,0.057,0.026000000000000002,0.013000000000000001,0.016,5
1746,I,0.54,0.4,0.145,0.757,0.315,0.18100000000000002,0.215,11
1747,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
1748,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
1749,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
1750,I,0.39,0.295,0.1,0.27899999999999997,0.1155,0.059000000000000004,0.08,7
1751,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6
1752,F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
1753,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
1754,I,0.36,0.27,0.095,0.2,0.073,0.055999999999999994,0.061,8
1755,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.29600000000000004,10
1756,M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
1757,F,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13
1758,I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8
1759,F,0.55,0.465,0.15,1.082,0.3575,0.19399999999999998,0.19,14
1760,I,0.385,0.295,0.085,0.2535,0.10300000000000001,0.0575,0.085,7
1761,M,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27,11
1762,F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
1763,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
1764,F,0.59,0.445,0.13,1.1325,0.3825,0.23399999999999999,0.32,13
1765,F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,12
1766,F,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,12
1767,I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
1768,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
1769,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
1770,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
1771,M,0.515,0.395,0.135,1.0070000000000001,0.47200000000000003,0.2495,0.252,8
1772,M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8
1773,I,0.36,0.26,0.08,0.1795,0.07400000000000001,0.0315,0.06,5
1774,M,0.35,0.265,0.09,0.19699999999999998,0.073,0.0365,0.077,7
1775,M,0.715,0.545,0.18,1.7405,0.871,0.34700000000000003,0.449,10
1776,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11
1777,M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
1778,F,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
1779,I,0.54,0.415,0.155,0.7020000000000001,0.322,0.16699999999999998,0.19,10
1780,I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
1781,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
1782,F,0.64,0.525,0.175,1.382,0.6459999999999999,0.3115,0.37,9
1783,M,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
1784,M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13
1785,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
1786,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
1787,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
1788,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
1789,I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
1790,M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10
1791,M,0.565,0.435,0.185,0.9815,0.32899999999999996,0.136,0.39,13
1792,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
1793,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.14400000000000002,7
1794,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
1795,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.16899999999999998,8
1796,F,0.645,0.52,0.18,1.285,0.5775,0.35200000000000004,0.317,9
1797,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
1798,I,0.45,0.355,0.105,0.4445,0.19699999999999998,0.09300000000000001,0.1335,8
1799,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
1800,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5
1801,I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
1802,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
1803,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
1804,I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9
1805,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
1806,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
1807,M,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,9
1808,I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
1809,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
1810,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
1811,M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
1812,M,0.515,0.425,0.145,0.9365,0.49700000000000005,0.18100000000000002,0.2185,8
1813,I,0.485,0.365,0.09,0.6509999999999999,0.3165,0.132,0.18,8
1814,I,0.475,0.36,0.11,0.49200000000000005,0.21100000000000002,0.11,0.15,8
1815,M,0.51,0.395,0.145,0.6185,0.21600000000000003,0.1385,0.24,12
1816,F,0.595,0.47,0.155,1.121,0.4515,0.17800000000000002,0.155,11
1817,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
1818,I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
1819,I,0.41,0.31,0.09,0.33899999999999997,0.155,0.0695,0.09,7
1820,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
1821,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
1822,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
1823,F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
1824,F,0.58,0.45,0.235,1.071,0.3,0.20600000000000002,0.395,14
1825,I,0.335,0.25,0.08,0.1695,0.0695,0.044000000000000004,0.0495,6
1826,I,0.42,0.305,0.09,0.32799999999999996,0.168,0.0615,0.08199999999999999,6
1827,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
1828,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
1829,M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
1830,M,0.74,0.57,0.18,1.8725,0.9115,0.42700000000000005,0.446,10
1831,M,0.35,0.26,0.09,0.198,0.0725,0.055999999999999994,0.06,10
1832,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.027999999999999997,7
1833,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
1834,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
1835,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
1836,M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9
1837,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
1838,F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
1839,M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
1840,F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
1841,F,0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08,10
1842,F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
1843,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
1844,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
1845,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
1846,F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
1847,I,0.29,0.21,0.06,0.1045,0.0415,0.022000000000000002,0.035,5
1848,M,0.67,0.5,0.2,1.2690000000000001,0.5760000000000001,0.2985,0.35100000000000003,11
1849,F,0.56,0.43,0.15,0.8745,0.45299999999999996,0.161,0.22,8
1850,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.11699999999999999,11
1851,F,0.64,0.505,0.19,1.2765,0.4835,0.32799999999999996,0.4,12
1852,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
1853,F,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9
1854,M,0.415,0.315,0.12,0.4015,0.19899999999999998,0.087,0.09699999999999999,8
1855,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
1856,M,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
1857,F,0.63,0.48,0.165,1.2615,0.5505,0.27699999999999997,0.3885,10
1858,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21
1859,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
1860,I,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
1861,F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14
1862,F,0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,13
1863,M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
1864,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10
1865,F,0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12,8
1866,I,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,9
1867,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
1868,F,0.74,0.565,0.205,2.119,0.9655,0.5185,0.48200000000000004,12
1869,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
1870,M,0.645,0.495,0.19,1.5390000000000001,0.6115,0.408,0.445,12
1871,M,0.465,0.355,0.12,0.5315,0.2725,0.09699999999999999,0.1395,8
1872,I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
1873,F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13
1874,M,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239,9
1875,I,0.29,0.21,0.065,0.09699999999999999,0.0375,0.022000000000000002,0.03,6
1876,M,0.66,0.505,0.165,1.374,0.589,0.35100000000000003,0.345,10
1877,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
1878,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
1879,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
1880,M,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,11
1881,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
1882,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
1883,F,0.58,0.435,0.15,0.8340000000000001,0.428,0.1515,0.23,8
1884,I,0.225,0.165,0.055,0.059000000000000004,0.027000000000000003,0.0125,0.015,4
1885,M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16
1886,I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
1887,M,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,10
1888,I,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9
1889,M,0.58,0.47,0.165,1.041,0.54,0.166,0.27899999999999997,9
1890,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
1891,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11
1892,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
1893,F,0.705,0.535,0.22,1.8659999999999999,0.929,0.3835,0.4395,10
1894,F,0.675,0.55,0.19,1.551,0.7105,0.3685,0.41200000000000003,13
1895,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
1896,F,0.6,0.47,0.19,1.1345,0.49200000000000005,0.2595,0.3375,10
1897,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
1898,I,0.505,0.39,0.15,0.685,0.36200000000000004,0.131,0.156,8
1899,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
1900,I,0.53,0.43,0.13,0.7045,0.34600000000000003,0.1415,0.18899999999999997,9
1901,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
1902,M,0.595,0.475,0.17,1.0965,0.419,0.22899999999999998,0.35,17
1903,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,10
1904,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
1905,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
1906,M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18
1907,I,0.55,0.445,0.125,0.672,0.28800000000000003,0.1365,0.21,11
1908,F,0.625,0.49,0.175,1.2329999999999999,0.5565,0.247,0.365,11
1909,I,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015,5
1910,F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
1911,I,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11
1912,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
1913,F,0.375,0.29,0.115,0.2705,0.09300000000000001,0.066,0.0885,10
1914,M,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
1915,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
1916,M,0.61,0.475,0.15,1.1420000000000001,0.62,0.237,0.245,9
1917,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
1918,F,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49,11
1919,I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11
1920,I,0.375,0.29,0.1,0.21899999999999997,0.0925,0.038,0.075,6
1921,I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10
1922,M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
1923,M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
1924,M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
1925,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
1926,M,0.475,0.36,0.14,0.5135,0.24100000000000002,0.1045,0.155,8
1927,I,0.47,0.375,0.105,0.441,0.16699999999999998,0.0865,0.145,10
1928,I,0.265,0.21,0.06,0.0965,0.0425,0.022000000000000002,0.03,5
1929,F,0.47,0.36,0.1,0.4705,0.1635,0.08900000000000001,0.1385,8
1930,F,0.57,0.44,0.12,0.8029999999999999,0.382,0.1525,0.23399999999999999,9
1931,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
1932,F,0.605,0.455,0.145,0.9775,0.46799999999999997,0.1775,0.275,9
1933,M,0.445,0.32,0.12,0.414,0.19899999999999998,0.09,0.11699999999999999,7
1934,F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9
1935,M,0.65,0.52,0.155,1.368,0.6185,0.28800000000000003,0.365,9
1936,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
1937,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
1938,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
1939,M,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9
1940,M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
1941,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
1942,M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
1943,I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8
1944,F,0.56,0.46,0.18,0.97,0.342,0.196,0.355,12
1945,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
1946,F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,8
1947,M,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8
1948,M,0.545,0.44,0.14,0.8395,0.35600000000000004,0.1905,0.2385,11
1949,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
1950,F,0.455,0.375,0.125,0.45799999999999996,0.1985,0.111,0.12,10
1951,M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11
1952,I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
1953,I,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
1954,M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11
1955,F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10
1956,I,0.46,0.35,0.1,0.47100000000000003,0.252,0.077,0.12300000000000001,8
1957,F,0.6,0.475,0.155,1.0590000000000002,0.441,0.19,0.39,11
1958,M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10
1959,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
1960,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
1961,I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8
1962,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11
1963,M,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,10
1964,F,0.68,0.5,0.185,1.7409999999999999,0.7665,0.3255,0.4685,12
1965,F,0.7,0.54,0.215,1.9780000000000002,0.6675,0.3125,0.71,24
1966,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
1967,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
1968,M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
1969,F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
1970,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
1971,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
1972,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
1973,F,0.61,0.47,0.195,1.2735,0.469,0.3315,0.39799999999999996,12
1974,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
1975,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
1976,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
1977,M,0.615,0.49,0.17,1.145,0.4915,0.20800000000000002,0.34299999999999997,13
1978,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
1979,M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
1980,F,0.615,0.455,0.135,1.0590000000000002,0.4735,0.263,0.27399999999999997,9
1981,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
1982,M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
1983,M,0.64,0.485,0.15,1.0979999999999999,0.5195,0.222,0.3175,10
1984,I,0.235,0.17,0.065,0.0625,0.023,0.013999999999999999,0.022000000000000002,6
1985,F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
1986,F,0.53,0.425,0.13,0.7170000000000001,0.2115,0.166,0.255,13
1987,F,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6
1988,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
1989,M,0.55,0.41,0.15,0.785,0.282,0.18600000000000003,0.275,12
1990,M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9
1991,M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
1992,F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15
1993,F,0.65,0.52,0.195,1.6275,0.6890000000000001,0.3905,0.43200000000000005,11
1994,I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
1995,F,0.675,0.535,0.16,1.41,0.5920000000000001,0.3175,0.42,16
1996,M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
1997,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13
1998,F,0.475,0.35,0.115,0.48700000000000004,0.19399999999999998,0.1455,0.125,13
1999,M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,12
2000,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
2001,I,0.375,0.29,0.095,0.213,0.096,0.040999999999999995,0.061,5
2002,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
2003,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
2004,I,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9
2005,F,0.535,0.45,0.135,0.8075,0.322,0.18100000000000002,0.25,13
2006,M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
2007,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
2008,F,0.625,0.49,0.155,1.33,0.6675,0.259,0.33,10
2009,I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
2010,I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
2011,F,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,18
2012,I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
2013,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
2014,I,0.405,0.3,0.09,0.26899999999999996,0.10300000000000001,0.067,0.11,6
2015,M,0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10
2016,I,0.35,0.28,0.075,0.196,0.08199999999999999,0.04,0.064,8
2017,F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.43700000000000006,10
2018,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
2019,I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12
2020,F,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
2021,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
2022,F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14
2023,F,0.56,0.455,0.19,0.7140000000000001,0.28300000000000003,0.129,0.275,9
2024,F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12
2025,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
2026,F,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945,12
2027,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
2028,F,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285,11
2029,I,0.495,0.38,0.145,0.5,0.205,0.14800000000000002,0.1505,8
2030,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
2031,M,0.325,0.24,0.085,0.17300000000000001,0.0795,0.038,0.05,7
2032,I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
2033,I,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6
2034,F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
2035,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
2036,I,0.45,0.33,0.1,0.41100000000000003,0.1945,0.1,0.098,6
2037,M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
2038,I,0.36,0.275,0.075,0.2205,0.0985,0.044000000000000004,0.066,7
2039,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
2040,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
2041,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
